nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
3,1,0,0,0,0,0,-0.8141,-0.0072,1
4,1,0,0,0,0,0,-0.1723,-0.2774,1
4,1,0,0,0,0,0,-0.9142,0.0528,1
4,1,0,0,1,0,0,-0.3621,-0.2147,1
5,0,0,0,0,0,0,0.2189,-0.0772,1
0,1,0,0,0,0,1,-0.4608,0.3721,0
7,1,0,0,0,0,0,1.4347,-0.4975,1
5,0,0,0,0,0,0,0.1487,-0.3253,1
0,0,0,0,0,0,0,0.6073,0.3867,0
0,1,0,0,1,0,0,1.4347,0.2213,0
0,1,0,0,1,0,0,1.4347,0.2213,0
1,1,0,0,0,0,0,0.9205,0.2542,1
1,1,0,0,0,0,0,0.9205,0.2542,1
2,1,0,0,0,0,0,0.9205,0.2542,1
1,0,0,0,0,0,0,-0.2237,0.2133,1
2,0,0,0,0,0,0,0.5108,0.055,1
3,0,0,0,0,0,0,-0.8141,-0.1977,1
7,0,0,0,0,0,0,-0.1723,-0.3777,1
4,0,0,0,0,0,0,-0.1723,-0.3777,1
11,0,0,0,0,0,0,1.4144,-0.5368,1
3,1,0,1,0,0,0,-0.3621,0.3253,1
3,1,0,1,0,0,0,-0.3033,0.2737,1
2,1,0,1,0,0,0,-0.3621,0.3253,1
0,0,0,0,1,0,1,0.6073,0.3637,0
0,0,0,0,0,0,0,-0.8141,0.369,0
6,0,0,0,1,0,0,0.3755,-0.2594,1
5,0,0,0,1,0,0,1.9993,-0.5149,1
5,0,0,0,0,0,0,1.9993,-0.5435,1
4,1,0,1,0,0,0,-0.3621,-0.2892,1
1,1,0,0,0,0,0,-0.9738,0.5385,1
5,1,0,0,0,0,0,-0.4574,-0.2117,1
6,1,0,0,0,0,0,0.4852,-0.4351,1
5,1,0,0,0,0,0,-0.5628,-0.171,1
6,1,0,0,0,0,0,-0.6044,-0.1537,1
6,1,0,0,0,0,0,-0.3621,-0.245,1
5,1,0,0,0,0,0,0.5108,-0.4387,1
7,0,0,1,0,0,0,1.0758,-0.4948,1
0,0,0,0,0,0,1,0.5108,0.5046,0
2,0,0,0,0,0,0,0.5108,0.2056,1
2,1,0,0,0,0,0,-0.9142,0.7659,1
0,1,0,0,0,0,0,-1.1506,1.1241,0
1,1,0,0,0,0,0,-0.5628,0.6641,1
1,1,0,0,0,0,0,-0.7231,0.7931,1
1,1,0,0,0,0,0,-1.0254,1.0416,1
1,1,0,0,0,0,0,-0.9142,0.9764,1
0,1,0,0,0,0,0,-0.8141,0.8284,0
1,1,0,0,0,0,0,-0.7231,0.5322,1
2,1,0,0,0,0,0,-1.0254,0.9239,1
0,1,0,0,0,0,0,-0.4608,0.6105,0
2,1,0,0,0,0,0,-0.7231,0.7061,1
0,1,0,0,0,0,0,-0.8141,0.7331,0
0,1,0,0,0,0,0,-0.3033,0.4374,0
1,1,0,0,0,0,0,-0.2779,0.4119,1
1,1,0,0,0,0,0,-1.0254,1.0416,1
5,1,0,0,0,0,0,-0.052000000000000005,-0.1332,1
2,0,0,0,1,0,0,-0.052000000000000005,0.0663,1
3,0,0,1,0,0,0,-0.3621,0.3005,1
2,0,0,0,0,0,0,-0.396,0.0179,1
0,0,0,0,0,0,0,-0.3621,0.5072,0
1,0,0,0,0,0,0,-0.3033,0.4452,1
0,0,0,0,0,0,0,-0.3621,0.5072,0
0,0,0,0,0,0,0,-0.3621,0.5072,0
0,0,0,0,0,0,0,-0.052000000000000005,0.2179,0
2,0,0,0,0,0,0,0.2189,0.0291,1
3,0,0,1,0,0,0,-0.3621,0.3005,1
1,0,0,1,0,0,0,-0.3621,0.3005,1
5,0,0,0,0,0,0,-0.2477,-0.2566,1
1,0,0,0,0,0,0,-0.9142,0.6318,1
0,0,0,0,0,0,0,-0.9142,0.5265,0
0,1,0,0,0,0,0,-0.9142,0.5781,0
4,0,0,1,0,0,0,-0.3621,-0.3056,1
2,1,0,0,0,0,0,-0.4574,0.221,1
1,1,0,0,0,0,0,-0.9142,0.6834,1
3,1,0,0,0,0,0,-0.9142,0.5781,1
6,1,0,0,0,0,0,0.8863,-0.5431,1
4,1,0,0,0,0,0,0.7455,-0.4187,1
3,1,0,0,0,0,0,0.1117,-0.2781,1
5,1,0,0,0,0,0,0.5108,-0.3767,1
8,1,0,0,1,0,0,1.4347,-0.4979,1
6,0,0,0,0,0,0,-0.4608,-0.1837,1
7,0,0,0,0,1,0,0.3755,-0.1754,1
2,0,0,0,0,0,0,0.5108,0.1765,1
4,1,1,1,0,0,0,-0.3033,-0.23600000000000002,1
5,0,0,0,0,0,0,0.1844,-0.4205,1
11,0,0,1,0,0,0,0.2189,-0.3577,1
1,1,0,0,0,0,1,0.0332,0.3733,1
1,1,0,0,0,0,1,-0.2477,0.0277,1
2,0,1,0,1,0,0,0.0534,0.0023,1
2,1,0,0,0,0,1,-0.4608,0.3521,1
8,0,0,1,0,0,0,0.2189,-0.3577,1
3,1,0,0,1,0,0,-1.0254,0.127,1
2,1,0,0,0,0,0,-1.1506,0.7543,1
5,1,0,0,0,0,0,-0.4574,-0.2117,1
0,1,0,0,0,0,1,0.5108,0.3869,0
4,1,0,0,0,0,0,-0.3033,-0.264,1
1,1,0,0,0,0,1,-0.9142,0.4802,1
6,1,0,0,0,0,0,-0.2237,-0.28800000000000003,1
2,1,0,0,1,0,0,-0.9142,0.4739,1
0,1,0,0,0,0,1,-1.0254,0.4988,0
0,1,0,0,0,0,0,-1.0254,0.5976,0
1,1,0,0,0,0,0,-0.9142,0.4739,1
6,1,0,1,0,0,0,-0.3621,-0.2892,1
4,1,0,0,0,0,0,0.584,-0.2485,1
3,0,0,0,0,0,0,1.4347,-0.5125,1
5,1,0,0,0,0,0,0.5108,-0.2235,1
6,0,0,0,0,0,0,0.6073,-0.4285,1
3,0,0,0,0,0,0,-0.3621,-0.2759,1
5,0,0,0,0,0,0,1.0758,-0.3187,1
2,0,0,0,0,1,0,-0.0767,0.0806,1
3,1,0,0,0,0,0,0.2189,-0.5102,1
4,0,0,0,0,0,0,-0.1723,-0.3777,1
6,0,0,0,0,0,0,-0.1723,-0.3777,1
4,0,0,0,0,0,1,0.0332,-0.2638,1
